license_type,authors,year,title,journal,doi,url,,
closed,"Lee, M. et al.",2025,Restored streams recover food web properties but with different scaling relationships when compared with natural streams,Ecological Applications,10.1002/eap.70017,,,
open,"Menares-Barraza, E., et al.",2025,Cost-effective conservation of multiple goals in grasslands: synergies and trade-offs,Biological Conservation,10.1016/j.biocon.2025.111401,,,
open,"Narango, D.L. and Straley, K.",2025,Non‐native congeneric trees are poor‐quality host plants for a larval Lepidopteran,Ecosphere,10.1002/ecs2.70274,,,
open,"Nikc, K. et al.",2025,Viral diversity and zoonotic risk in endangered species,Ecosphere,10.1002/ecs2.70462,,,
open,"Ollerton, J. et al.",2025,Incorporating measures of data quality into plant-pollinator databases,Journal for Pollination Ecology,10.26786/1920-7603(2025)844,,,
closed,"Pertierra, L.R., et al.",2025,Advances and shortfalls in knowledge of Antarctic terrestrial and freshwater biodiversity,Science,10.1126/science.adk2118,,,
open,"Porter, T.R., et al.",2025,Soil communities following harvest have different early successional dynamics compared with post-wildfire patterns,Scientific Reports,10.1038/s41598-025-16373-y,,,
closed,"Ridden, J. and Donald, M.L.",2025,Uncovering Hidden Relationships: Museum Data Reveal Novel Interactions for Neglected Insect Pollinators,Journal of Applied Entomology,10.1111/jen.13466,,,
open,"Riley, A.C. et al.",2025,Biomonitoring 2.0 Refined: observing local change through metaphylogeography using a community-based eDNA metabarcoding monitoring network,BMC Biology,10.1186/s12915-025-02284-x,,,
closed,"Roy, S. et al.",2025,Predicting Interactions Among Species in Ecological Networks: A Roadmap to Address Eltonian Shortfall.,Artificial Intelligence and Animal Ecology [book],,,,
open,"Russo, L. et al.",2025,The Spatiotemporal Variability of Marine Plankton Ecosystem Services at the Regional Scale: A Combined Approach Using a Systematic Review and Network Analysis,Sustainability,10.3390/su17031182,,,
open,"Seah, B.K.B.",2025,"Database Release: PPSDB, a Linked Open Data Knowledge Base for Protist–Prokaryote Symbioses",Journal of Eukaryotic Microbiology,10.1111/jeu.70049,,,
open,"Smith, C. et al.",2025,"Pollen specialist bee species are accurately predicted from visitation, occurrence and phylogenetic data",Oecologia,10.1007/s00442-024-05653-5,,,
open,"Sousa da Silva, A.T., et al.",2025,Diversity patterns and knowledge gaps of Atlantic Forest epiphyllous bryophytes: a highly neglected group,Annals of Botany,10.1093/aob/mcaf007,,,
open,"González-Vaquero, R.A. et al.",2025,curation and standardisation of plant–pollinator interaction data under fair principles: experience from pampean agroecosystems,Journal of Pollination Ecology,10.26786/1920-7603(2026)873,,,
open,"Westhoven, S. et al.",2025,From zoonotic spillover to endemicity: the broad determinants of human coronavirus tropism,Virology,10.1128/mbio.02437-25,,,
open,"Wyckhuys, K.A.G, et al.",2025,Restoring functional farmland biodiversity for biological pest control,Trends in Plant Science,10.1016/j.tplants.2025.03.012,,,
open,"Adhurya, S. et al.",2024,KF-metaweb: A trophic metaweb of freshwater ecosystems of South Korea,Global Ecology and Biogeography,10.1111/geb.13845,,,
open,"Antunes, A.N. et al.",2024,"Linking biodiversity, ecosystem function, and Nature’s contributions to people: a macroecological energy flux perspective",Trends in Ecology & Evolution,10.1016/j.tree.2024.01.004,,,
open,"Bellardini, D. et al.",2024,Spatiotemporal changes of pelagic food webs investigated by environmental DNA metabarcoding and connectivity analysis.,Philosphical Transactions of the Royal Society B,10.1098/rstb.2023.0178,,,
open,"Blanc-Benigeri, A.",2024,Diet of moulting Swainson's Thrushes (Catharus ustulatus) and Tennessee Warblers (Leiothlypis peregrina) at a stopover site during fall migration measured with fecal DNA metabarcoding.,Scientific Reports,10.1038/s41598-024-59462-0,,,
open,"Carvalho, A.N. et al.",2024,Not armoured enough: The black-and-white tegu Salvator merianae (Squamata: Teiidae) as a predator of armadillos (Cingulata),Food Webs,10.1016/j.fooweb.2024.e00380,,,
open,"Cicero, C. et al.",2024,Arctos: Community-driven innovations for managing natural and cultural history collections,PLOS ONE,10.1371/journal.pone.0296478,,,
closed,"Chen, C. et al.",2024,Stability of ecological systems: A theoretical review,Physics Reports,10.1016/j.physrep.2024.08.001,,,
open,"Cheng, S. et al.",2024,Potential Impact of DOM on Fish Biodiversity in the Jinshui River Basin Environment,Fishes,10.3390/fishes9120489,,,
open,"Drucker, D.P. et al.",2024,Collectively Working towards Plant-Pollinator Interactions Data Interoperability and Reuse: Lessons Learned from the WorldFAIR Project.,Biodiversity Information Science and Standards,10.3897/biss.8.141109,,,
open,"Eichenwalt, A.J. et al.",2024,Potential extinction cascades in a desert ecosystem: Linking food web interactions to community viability,Ecology and Evolution,10.1002/ece3.10930,,,
closed,"Elliott, M.J. and Fortes, J.A.B",2024,Toward Reliable Biodiversity Information Extraction From Large Language Models,2024 IEEE 20th International Conference on e-Science (e-Science),10.1109/e-Science62913.2024.10678666,,,
open,"Feng, X. et al.",2024,Rethinking ecological niches and geographic distributions in face of pervasive human influence in the Anthropocene,Biological Reviews,10.1111/brv.13077,,,
open,"Fenn-Moltu, G. et al.",2024,Pathways for accidental biocontrol: The human‐mediated dispersal of insect predators and parasitoids,Ecological Applications,10.1002/eap.3047,,,
closed,"Funabashi, M. et al.",2024,Scale-Free Correction of Under-/Over-Reported Biases in Global Biotic Interaction Network,"2024 World Conference on Complex Systems (WCCS), Mohammedia, Morocco, 2024",10.1109/WCCS62745.2024.10765545,,,
open,"Giannakis K., et al.",2024,"Ecological Predictors of Organelle Genome Evolution: Phylogenetic Correlations with Taxonomically Broad, Sparse, Unsystematized Data",Systematic Biology,10.1093/sysbio/syae009,,,
open,"Grey, H.L. et al.",2024,Diet specialization mediates drivers of Cucurbita herbivory in a semi-arid agroecosystem,Current Research in Insect Science,10.1016/j.cris.2024.100087,,,
closed,"Heptinstall, T.C. et al.",2024,Size Doesn't Matter: Body Size is Not Linked to Diet Specialization in Garter Snakes (Squamata: Natricidae: Thamnophis),Herpetologica,10.1670/23-048,,,
open,"Katili, M.Z. et al.",2024,Leveraging Biotic Interaction Knowledge Graph and Network Analysis to Uncover Insect Vectors of Plant Virus,Journal of Information Systems Engineering and Business Intelligence,10.20473/jisebi.10.1.94-109,,,
open,"Lee, M. et al.",2024,Development of a link extrapolation-based food web model adapted to Korean stream ecosystems,Korean Journal of Environmental Biology,10.11626/KJEB.2024.42.2.207,,,
open,"Lertzman-Lepofsky, G. et al.",2024,Temporal changes in taxon abundances are positively correlated but poorly predicted at the global scale,Ecography,10.1111/ecog.07195,,,
closed,"Mansour, A. et al.",2024,"Checklist of monogeneans from Egyptian marine fishes, including some newly collected species",Systematic Parasitology,10.1007/s11230-024-10150-7,,,
open,"Marshall, L. et al.",2024,Understanding and addressing shortfalls in European wild bee data,Biological Conservation,10.1016/j.biocon.2024.110455,,,
open,"Moretti, P.F. et al.",2024,A Process-Based Approach to Guide the Observational Strategies for the Assessment of the Marine Environment,Sustainability,10.3390/su16198335,,,
open,"Ospina, A. et al.",2024,"The sweet path of Hansel and Gretel: pollination system of Masdevallia hortensis (Orchidaceae: Pleurothallidinae) in a cloud montane forest of the Cordillera Occidental, in Colombia",Plant Systematics and Evolution,10.1007/s00606-024-01924-z,,,
closed,"Russo, L. et al.",2024,Zoom into a twilight zone: a biodiversity survey of the Dohrn Canyon (Mediterranean sea) through environmental DNA metabarcoding,Community Ecology,10.1007/s42974-024-00207-4,,,
open,"Savage, A.M. et al.",2024,Online toolkits for collaborative and inclusive global research in urban evolutionary ecology,Ecology and Evolution,10.1002/ece3.11633,,,
open,"Super, L. et al.",2024,Studying Phytobiomes as Complex Systems: A New Framework for Learners to Scaffold Understanding,The Plant Health Instructor,10.1094/PHI-F-2023-06-0006,,,
open,"Thyrring, J. et al.",2024,Shallow coverage in shallow waters: the incompleteness of intertidal species inventories in biodiversity database records,Ecography,Ecography,10.1111/ecog.07006,,
closed,"Tsevenda, C. A. et al.",2024,"Food and Feeding Habits of Three Selected Fish Species of Lower River Benue, Benue State, Nigeria",Nigerian Journal of Fisheries and Aquaculture,,https://www.nijfaq.com.ng/index.php/ojs-nijfaq/article/download/148/123,,
open,"Ballare, K.M. et al.",2023,Environmental DNA reveals invasive crayfish microbial associates and ecosystem‐wide biodiversity before and after eradication,Environmental DNA,10.1002/edn3.445,,,
closed,"Borrelli, J.J. et al.",2023,Putting a lake together: Integrating synthetic data and field observations to build a better food web,Food Webs,10.1016/j.fooweb.2023.e00315,,,
open,"Caufield, H.J. et al.",2023,KG-Hub - Building and Exchanging Biological Knowledge Graphs,Bioinformatics,10.1093/bioinformatics/btad418,,,
open,"Copoiu, D.S. and Purcărea, C",2023,First report on the presence of *Botanophila fugax* (Meigen, 1826) (Diptera: Anthomyiidae) in Romania.,Romanian Journal of Biology - Zoology,,https://www.ibiol.ro/zoology/RJB-Z-68/pdf/RJBZ_68_art-2.pdf,
open,"Doherty, S. et al.",2023,Estimating co‐extinction threats in terrestrial ecosystems,Global Change Biology,10.1111/gcb.16836,,,
open,"Elliott, M.J. et al.",2023,Signing data citations enables data verification and citation persistence,Scientific Data,10.1038/s41597-023-02230-y,,,
open,"Gerber, G. et al.",2023,Automated workflow for incorporation and evaluation of data uncertainty in ecological networks with autoLIMR,Ecological Informatics,10.1016/j.ecoinf.2023.102375,,,
open,"Gippet, J.M.W. et al.",2023,The global risk of infectious disease emergence from giant land snail invasion and pet trade,Parasites & Vectors,10.1186/s13071-023-06000-y,,,
open,"Lee, M. et al.",2023,Impacts of the accumulated extinction of endangered species on stream food webs,Global Ecology and Conservation,10.1016/j.gecco.2023.e02747,,,
closed,"Le Guillarme, N. and Thuiller, W.",2023,A practical approach to constructing a knowledge graph for soil ecological research,European Journal of Soil Biology,10.1016/j.ejsobi.2023.103497,,,
open,"Liewelyn, J., et al.",2023,Predicting predator-prey interactions in terrestrial endotherms using random forest,Ecography,10.1111/ecog.06619,,,
open,"Lippi, C.A., et al.",2023,Characterizing the Vector Data Ecosystem,Journal of Medical Entomology,10.1093/jme/tjad009,,,
open,"Martinez, ND",2023,Predicting ecosystem metaphenome from communitymetagenome: A grand challenge for environmental biology,Ecology and Evolution,10.1002/ece3.9872,,,
closed,"Nava-Bolaños, A., et al.",2023,Critical areas for pollinator conservation in Mexico: A cross-border priority,Biological Conservation,10.1016/j.biocon.2023.110119,,,
open,"Ohlmann, M. et al.",2023,metanetwork: A R package dedicated to handling and representing trophic metanetworks,Ecology and Evolution,10.1002/ece3.10229,,,
open,"Olivier, P.E.N. et al.",2023,A network of biological traits: Profiling consumer-resource interactions,Food Webs,10.1016/j.fooweb.2023.e00333,,,
open,"Pacheco, A.R. and Vorholt, J.A.",2023,Resolving metabolic interaction mechanisms in plant microbiomes,Current Opinion in Microbiology,10.1016/j.mib.2023.102317,,,
open,"Reynoso-García, J. et al.",2023,Edible flora in pre-Columbian Caribbean coprolites: Expected and unexpected data,PLOS ONE,10.1371/journal.pone.0292077,,,
open,"Salim, J.A.",2023,"Unificando dados de interações bióticas: terminologia, análise de dados, padronização e proposta de um esquema de dados para interações planta-polinizador./ Unifying biotic interactions data: terminology, data analysis, standardization, and proposal of a data schema for plant-pollinator interactions.",Universidade de São Paulo. Agência de Bibliotecas e Coleções Digitais,10.11606/t.3.2023.tde-03012024-110904,,,
open,"Sánchez-Barradas, A. et al.",2023,Combining Geographic Distribution and Trait Information to Infer Predator-Prey Species-Level Interaction Properties,Diversity,10.3390/d15010061,,,
open,"Sterner, B. et al.",2023,Unified and pluralistic ideals for data sharing and reuse in biodiversity,Database,10.1093/database/baad048,,,
closed,"Sullivan, K.A. et al.",2023,Building a community-based taxonomic resource for digitization of parasites and their hosts,Insect Systematics and Diversity,10.1093/isd/ixad023,,,
open,"Wyckhuys, K. A. et al.",2023,Legume integration for biological control deserves a firmer scientific base.,Outlook on Agriculture,10.1177/00307270231194086,,,
closed,"Qin, S. et al.",2023,eDNA-based diversity and multitrophic network reveal the effects of land use and pollutants on the subtropical Dongjiang River systems,Environmental Pollution,10.1016/j.envpol.2023.122157,,,
closed,"Campos-Cerda, F. et al.",2022,Eggshell microbiome as a potential microbial reservoir in a cavity nesting bird,Journal of Ornithology,10.1007/s10336-022-02028-6,,,
open,"Carlson, C.J. et al.",2022,"The Global Virome in One Network (VIRION): an Atlas of Vertebrate-Virus Associations B. E. Pickett &amp; K. Jurado, eds.",mBio,10.1128/mbio.02985-21,,,
closed,"Caron, D, Maiorano, L, Thuiller, W, Pollock, LJ",2022,Addressing the Eltonian shortfall with trait‐based interaction models.,Ecology Letters,10.1111/ele.13966,,,
closed,"Cruz‐Laufer, A.J. et al.",2022,Explosive networking: The role of adaptive host radiations and ecological opportunity in a species‐rich host–parasite assembly.,Ecology Letters,10.1111/ele.14059,,,
closed,"Doncheva, N.T. et al.",2022,Cytoscape stringApp 2.0: Analysis and Visualization of Heterogeneous Biological Networks,Journal of Proteome Research,10.1021/acs.jproteome.2c00651,,,
open,"Eisenhauer, N. et al.",2022,Frontiers in soil ecology—Insights from the World Biodiversity Forum 2022,Journal of Sustainable Agriculture and Environment,10.1002/sae2.12031,,,
open,"Folegatti, P.M. et al.",2022,Vaccines based on the replication-deficient simian adenoviral vector ChAdOx1: Standardized template with key considerations for a risk/benefit assessment.,Vaccine,10.1016/j.vaccine.2022.06.008,,,
closed,"Fricke, E.C. et al.",2022,Collapse of terrestrial mammal food webs since the Late Pleistocene,Science,10.1126/science.abn4012,,,
open,"Girón, J.C. et al.",2022,Enhanced monography in a collaboratively evolved hub for systematic biology.,Bulletin of the Society of Systematic Biologists,10.18061/bssb.v1i1.8340,,,
open,"Han, D. et al.",2022,Microhabitat preferences of butterflies in urban parks: both vegetation structure and resources are decisive.,Urban Forestry &amp; Urban Greening,10.1016/j.ufug.2022.127552,,,
open,"Kita, C.A. et al.",2022,Ten simple rules for reporting information on species interactions,PLoS Computational Biology,10.1371/journal.pcbi.1010362,,,
open,"Llewelyn, J. et al.",2022,Sahul's megafauna were vulnerable to plant-community changes due to their position in the trophic network.,Ecography,10.1111/ecog.06089,,,
open,"Manca, F. et al.",2022,Unveiling the complexity and ecological function of aquatic macrophyte–animal networks in coastal ecosystems.,Biological Reviews,10.1111/brv.12842,,,
open,"Motta, C.I., Luong, J.C. &amp; Seltmann, K.C.",2022,Plant–arthropod interactions of an endangered California lupine.,Ecology and Evolution,10.1002/ece3.8688,,,
open,"Nava-Bolaños, A. et al.",2022,Estado del arte del conocimiento de biodiversidad de los polinizadores de México. State of the art of knowledge of pollinators biodiversity  in Mexico. ,Revista Mexicana de Biodiversidad,10.22201/ib.20078706e.2022.93.3948,http://www.revista.ib.unam.mx/index.php/bio/article/view/3948/4414,,
open,"Pacheco, A.R, et al.",2022,Toward FAIR Representations of Microbial Interactions,mSystems,10.1128/msystems.00659-22,,,
open,"Paragkamian, S. et al.",2022,Automating the Curation Process of Historical Literature on Marine Biodiversity Using Text Mining: The DECO Workflow.,Frontiers in Marine Science,10.3389/fmars.2022.940844,,,
open,"Porter, T.M. & Hajibabaei M.",2022,"MetaWorks: A flexible, scalable bioinformatic pipeline for high-throughput multi-marker biodiversity assessments",PLOS ONE,10.1371/journal.pone.0274260,,,
open,"Robinson, C.V., et al.",2022,"Multi-marker metabarcoding resolves subtle variations in freshwater condition: Bioindicators, ecological traits, and trophic interactions",Ecological Indicators,10.1016/j.ecolind.2022.109603,,,
open,"Strona, G. and Corey J.A. Bradshaw",2022,Coextinctions dominate future vertebrate losses from climate and land use change,Science Advances,10.1126/sciadv.abn4345,,,
open,"Tedersoo, L. et al.",2022,Best practices in metabarcoding of fungi: From experimental design to results.,Molecular Ecology,10.1111/mec.16460,,,
open,"Windsor, F.M. et al.",2022,Using ecological networks to answer questions in global biogeography and ecology.,Journal of Biogeography,10.1111/jbi.14447,,,
open,"Woo, S.Y. et al.",2022,Exploring the predation of large land snails using preyed shell remains from rock anvil sites in a tropical limestone rainforest in Malaysia.,Biodiversity Data Journal,10.3897/BDJ.10.e90063,,,
open,"Bachelder, N. R, Chen, A., Zoe, F., Rapaport, M. K, Bang, J., Solomon, S. J, et al.",2021,"Leveraging Large Biological Interaction Data to Quantify Plant Specialization by Bees.  This poster was presented during the LB 40: ""Vital Connections in Ecology: Breakthroughs in Understanding Species Interactions 2""Thursday, August 5 Ecological Society of America Meeting, Virtual Meeting, 2021",UC Santa Barbara: Cheadle Center for Biodiversity and Ecological Restoration,,https://escholarship.org/uc/item/33b2t2bq,,
open,"Baltoumas,  F. A, et al.",2021,Biomolecule and Bioentity Interaction Databases in Systems Biology: A Comprehensive Review.,Biomolecules,10.3390/biom11081245,,,
closed,"Beauchesne, D. et al.",2021,"On the sensitivity of food webs to multiple stressors T. Wootton, ed.",Ecology Letters,10.1111/ele.13841,,,
open,"Bloor, J.M.G. et al.",2021,Analysis of complex trophic networks reveals the signature of land-use intensification on soil communities in agroecosystems.,Scientific Reports,10.1038/s41598-021-97300-9,,,
open,"Chaffron, S. et al.",2021,Environmental vulnerability of the global ocean epipelagic plankton community interactome.,Science Advances,10.1126/sciadv.abg1921,,,
closed,"Del Risco, A.A., Montoya, Á.M., García, V. et al",2021,Data synthesis and dynamic visualization converge into a comprehensive biotic interaction network: a case study of the urban and rural areas of Bogotá D.C..,Urban Ecosystems,10.1007/s11252-021-01133-3,,,
closed,"Feng, X., Qiao, H. &amp; Schrodt, F.",2021,Accounting for dispersal using simulated data improves understanding of species abundance patterns.,Global Ecology and Biogeography,10.1111/geb.13412,,,
open,"Funabashi, M. and Minami, T.",2021,Dynamical assessment of aboveground and underground biodiversity with supportive AI,Measurement: Sensors,10.1016/j.measen.2021.100167,,,
closed,"Gibb, R. et al.",2021,"Data Proliferation, Reconciliation, and Synthesis in Viral Ecology.",BioScience,10.1093/biosci/biab080,,,
open,"Groom, Q. et al.",2021,"Holistic understanding of contemporary ecosystems requires integration of data on domesticated, captive and cultivated organisms.",Biodiversity Data Journal,10.3897/bdj.9.e65371,,,
open,"Groom, Q. et al.",2021,Species interactions: next‐level citizen science.,Ecography,10.1111/ecog.05790,,,
open,"Heberling, J.M. et al.",2021,Data integration enables global biodiversity synthesis.,Proceedings of the National Academy of Sciences,10.1073/pnas.2018093118,,,
closed,"Keppel, G. et al.",2021,Synthesizing tree biodiversity data to understand global patterns and processes of vegetation.,Journal of Vegetation Science,10.1111/jvs.13021,,,
open,"Le Guillarme, N., et al.",2021,Building a Trophic Knowledge Graph to Support Soil Food Web Reconstruction.,"S4BioDiv 2021: 3rd International Workshop on Semantics for Biodiversity, held at JOWO 2021: Episode VII The Bolzano Summer of Knowledge, 2021  September 11–18, Bolzano, Italy ",,http://ceur-ws.org/Vol-2969/paper2-s4biodiv.pdf,,
open,"Nastasi, L. &amp; Deans, A.",2021,"Catalogue of Rose Gall, Herb Gall, and Inquiline Gall Wasps (Hymenoptera: Cynipidae) of the United States, Canada and Mexico.",Biodiversity Data Journal,10.3897/bdj.9.e68558,,,
closed,"Middleton, O. et al.",2021,"CarniDIET 1.0: A database of terrestrial carnivorous mammal diets D. Pincheira‐Donoso, ed.",Global Ecology and Biogeography,10.1111/geb.13296,,,
open,"Pérez-Botello, A. &amp; Simões, N.",2021,Sponge-dwelling fauna: a review of known species from the Northwest Tropical Atlantic coral reefs.,Biodiversity Data Journal,10.3897/bdj.9.e63372,,,
open,"Pinheiro, R., Jorge, L. &amp; Lewinsohn, T.",2021,Classification of Biological Interactions: Challenges in the field and in analysis.,Biodiversity Information Science and Standards,10.3897/biss.5.74375,,,
open,"Pocock, M.J.O., Schmucki, R. &amp; Bohan, D.A.",2021,Inferring species interactions from ecological survey data: A mechanistic approach to predict quantitative food webs of seed feeding by carabid beetles.,Ecology and Evolution,10.1002/ece3.8032,,,
open,"Pozsgai, G. et al. 2021. ",2021,Associations between carabid beetles and fungi in the light of 200 years of published literature.,Scientific Data,10.1038/s41597-021-01072-w,,,
open,"Rock, B.M. &amp; Daru, B.H.",2021,Impediments to Understanding Seagrasses’ Response to Global Change.,Frontiers in Marine Science, 10.3389/fmars.2021.608867,,,
closed,"Scharler,U.M. &amp; Borrett S.R.",2021,"Network construction, evaluation and documentation: A guideline.",Environmental Modelling &amp;  Software,10.1016/j.envsoft.2021.105020,,,
open,"Seltmann, K. et al.",2021,Announcing Big-Bee: An initiative to promote understanding of bees through image and trait digitization.,Biodiversity Information Science and Standards,10.3897/biss.5.74037,,,
open,"Filipi Miranda Soares, Raíssa Yuri Hamanaka, Benildes Coura Moreira dos Santos Maculan. 2021",2021,"Aplicação de metadados na padronização de registros de ocorrência de espécies no contexto da ciência cidadã para a biodiversidade: um estudo de casa. Semantic Interoperability in the Context of Biodiversity Data: A Case Study on the Use of Metadata Standards. Silva, Carlos Guardado da, Revez, Jorge &amp; Corujo, Luís (Eds.). Organização do Conhecimento no Horizonte 2030: Desenvolvimento Sustentável e Saúde: Atas do V Congresso ISKO Espanha-Portugal, Universidade de Lisboa. Faculdade de Letras, 25 e 26 de novembro de 2021. Lisboa: Centro de Estudos Clássicos, Colibri. pp. 179. ",,,https://estudogeral.sib.uc.pt/bitstream/10316/96925/1/2021-MACEDO_SILVA_FREITAS_ISKO2021.pdf,,
open,"Strona, G., Beck, P.S.A., Cabeza, M. et al. ",2021,Ecological dependencies make remote reef fish communities most vulnerable to coral loss.,Nature Communications,10.1038/s41467-021-27440-z,,,
open,"Strydom, T. et al.",2021,A roadmap towards predicting species interaction networks (across space and time).,Philosophical Transactions of the Royal Society B: Biological Sciences,10.1098/rstb.2021.0063,,,
open,"Stupp, D. et al.",2021,Co-evolution based machine-learning for predicting functional interactions between human genes.,Nature Communications,10.1038/s41467-021-26792-w,,,
open,"Upham, N.S. et al.",2021,Liberating host–virus knowledge from biological dark data.,The Lancet Planetary Health,10.1016/s2542-5196(21)00196-0,,,
open,"An, S. et al.",2020,Scientific Modeling Using Large Scale Knowledge.,Artificial Intelligence in Education,10.1007/978-3-030-52240-7_4,,,
open,"Anderson, R.P. et al.",2020,"Optimizing biodiversity informatics to improve information flow, data quality, and utility for science and society. ",Frontiers of Biogeography,10.21425/f5fbg47839,,,
open,"Baker, E., Chesmore, D.",2020,Standardisation of bioacoustic terminology for insects.,Biodiversity Data Journal, 10.3897/bdj.8.e54222,,,
open,"Bakker, F.T. et al.",2020,The Global Museum: natural history collections and the future of evolutionary science and public education.,PeerJ,10.7717/peerj.8225,,,
open,"Cook, J.A. et al.",2020,Integrating Biodiversity Infrastructure into Pathogen Discovery and Mitigation of Emerging Infectious Diseases.,BioScience,10.1093/biosci/biaa064,,,
open,"Elmasri, M. et al.",2020,A hierarchical Bayesian model for predicting ecological interactions using scaled evolutionary relationships.,The Annals of Applied Statistics,10.1214/19-aoas1296,,,
open,"Grundler, M.",2020,SquamataBase: a natural history database and R package for comparative biology of snake feeding habits.,Biodiversity Data Journal,10.3897/bdj.8.e49943,,,
closed,"Krishnaswamy, V.G., Aishwarya, S.  Kathawala, T.M.",2020,Extrication of the Microbial Interactions of Activated Sludge Used in the Textile Effluent Treatment of Anaerobic Reactor Through Metagenomic Profiling.,Current Microbiology,10.1007/s00284-020-02020-4,,,
closed,"Minuti, G. et al.",2020,Prospects for the biological control of Iris pseudacorus L. (Iridaceae).,Biocontrol Science and Technology,10.1080/09583157.2020.1853050,,,
open,"Vincent, F.  Bowler, C.",2020,"Diatoms Are Selective Segregators in Global Ocean Planktonic Communities J. Petersen,",ed. mSystems,10.1128/msystems.00444-19,,,
open,"Wiscovitch-Russo, R. et al.",2020,"Pre-Columbian zoonotic enteric parasites: An insight into Puerto Rican indigenous culture diets and life styles D. Hoon Shin, ed.",PLOS ONE,10.1371/journal.pone.0227810,,,
open,"Quinn, B.K.",2020,Potential kleptoparasitism-scavenging interactions between crabs and shell-boring gastropods feeding on bivalve prey: a global survey.,Plankton and Benthos Research,10.3800/pbr.15.132,,,
open,"Webb, T.J.  Vanhoorne, B.",2020,Linking dimensions of data on global marine animal diversity.,Philosophical Transactions of the Royal Society B: Biological Sciences,10.1098/rstb.2019.0445,,,
closed,"Wu, D., Del Rosario, E.A.  Lowry, C.",2020,Exploring the Use of Decision Tree Methodology in Hydrology Using Crowdsourced Data.,JAWRA Journal of the American Water Resources Association,10.1111/1752-1688.12882,,,
closed,"Baiser, B. et al.",2019,"Ecogeographical rules and the macroecology of food webs M. Fortin, ed.",Global Ecology and Biogeography,10.1111/geb.12925,,,
open,"Baker, E., Dupont, S., Smith, V.S.",2019,Ecological interactions in the Scratchpads virtual research environment.,Biodiversity Data Journal,10.3897/bdj.7.e47043,,,
open,"Cobb, N.S. et al.",2019,Assessment of North American arthropod collections: prospects and challenges for addressing biodiversity research.,PeerJ,10.7717/peerj.8086,,,
